BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
1030,1,24.63,6.98,0,0,1,1,-25.9220991,115,9,1.1,0.9,18.4996759,0,0,0
1031,1,9.25,2.62,0,0,1,1,-30.8267944,115,9,1.1,0.9,18.4996759,0,0,0
1032,1,0,0,0,0,1,1,-24.5332607,115,9,1.1,0.9,18.4996759,0,0,0
1033,2,0,0,0,50,1,1,-29.456614,230,9,1.1,0.9,18.4996759,0,0,0
1034,1,0,0,0,0,1,1,-28.132032,115,9,1.1,0.9,18.4996759,0,0,0
1035,2,0,0,0,0,1,1,-24.8462336,13.8,9,1.1,0.9,18.4996759,0,0,0
1036,1,13.6,3.85,0,0,1,1,-25.081124,115,9,1.1,0.9,18.4996759,0,0,0
1037,1,102.24,28.97,0,0,1,1,-36.8477806,115,9,1.1,0.9,18.4996759,0,0,0
1038,1,0,0,0,0,1,1,-19.9891052,115,9,1.1,0.9,18.4996759,0,0,0
1039,2,0,0,0,0,1,1,-14.5435864,22,9,1.1,0.9,18.4996759,0,0,0
1040,1,44.36,12.57,0,0,1,1,-34.5507515,115,9,1.1,0.9,18.4996759,0,0,0
1041,1,0,0,0,0,1,1,-29.0709154,115,9,1.1,0.9,18.4996759,0,0,0
1042,2,0,0,0,0,1,1,-29.0709154,13.8,9,1.1,0.9,18.4996759,0,0,0
1043,2,0,0,0,0,1,1,-25.8255656,13.8,9,1.1,0.9,18.4996759,0,0,0
1044,1,14.68,4.16,0,0,1,1,-39.1436879,115,9,1.1,0.9,18.4996759,0,0,0
1045,1,98.56,27.93,0,0,1,1,-38.8093038,115,9,1.1,0.9,18.4996759,0,0,0
1046,1,11.08,3.14,0,12,1,1,-34.0608598,115,9,1.1,0.9,18.4996759,0,0,0
1047,1,0,0,0,0,1,1,-26.8321851,115,9,1.1,0.9,18.4996759,0,0,0
1048,2,0,0,0,0,1,1,-26.8321851,18,9,1.1,0.9,18.4996759,0,0,0
1049,2,0,0,0,0,1,1,-26.8321851,18,9,1.1,0.9,18.4996759,0,0,0
1050,2,0,0,0,0,1,1,-21.7401636,18,9,1.1,0.9,18.4996759,0,0,0
1051,2,0,0,0,0,1,1,-20.2603477,18,9,1.1,0.9,18.4996759,0,0,0
1052,2,0,0,0,0,1,1,-22.6012126,18,9,1.1,0.9,18.4996759,0,0,0
1053,2,0,0,0,0,1,1,-30.7829793,230,9,1.1,0.9,18.4996759,0,0,0
1054,1,14.99,4.25,0,0,1,1,-36.5509258,115,9,1.1,0.9,18.4996759,0,0,0
1055,1,3.98,1.13,0,0,1,1,-34.0528108,115,9,1.1,0.9,18.4996759,0,0,0
1056,1,0,0,0,56.13,1,1,-35.627363,115,9,1.1,0.9,18.4996759,0,0,0
1057,2,0,0,0,0,1,1,-35.627363,18,9,1.1,0.9,18.4996759,0,0,0
1058,1,13.46,3.81,0,0,1,1,-22.9453176,115,9,1.1,0.9,18.4996759,0,0,0
1059,2,0,0,0,0,1,1,-22.9453176,22,9,1.1,0.9,18.4996759,0,0,0
1060,2,0,0,0,0,1,1,-22.9453176,22,9,1.1,0.9,18.4996759,0,0,0
1061,1,0,0,0,0,1,1,-31.1706336,115,9,1.1,0.9,18.4996759,0,0,0
1062,2,0,0,0,0,1,1,-31.1706336,13.8,9,1.1,0.9,18.4996759,0,0,0
1063,2,0,0,0,0,1,1,-31.1706336,13.8,9,1.1,0.9,18.4996759,0,0,0
1064,1,123.76,35.07,0,0,1,1,-38.6213412,115,9,1.1,0.9,18.4996759,0,0,0
1065,1,0,0,0,0,1,1,-28.8702722,115,9,1.1,0.9,18.4996759,0,0,0
1066,2,0,0,0,0,1,1,-21.3288458,13.8,9,1.1,0.9,18.4996759,0,0,0
1067,1,101.55,28.77,0,0,1,1,-29.6628557,115,9,1.1,0.9,18.4996759,0,0,0
1068,1,59.4,16.83,0,0,1,1,-29.6364064,115,9,1.1,0.9,18.4996759,0,0,0
1069,1,0,0,0,0,1,1,-20.5224126,115,9,1.1,0.9,18.4996759,0,0,0
1070,2,0,0,0,0,1,1,-15.6943265,13.8,9,1.1,0.9,18.4996759,0,0,0
1071,1,91.46,25.91,0,0,1,1,-36.031101,115,9,1.1,0.9,18.4996759,0,0,0
1072,2,0,0,0,0,1,1,-26.6179565,18,9,1.1,0.9,18.4996759,0,0,0
1073,2,0,0,0,0,1,1,-20.3399583,18,9,1.1,0.9,18.4996759,0,0,0
1074,2,0,0,0,0,1,1,-22.322542,18,9,1.1,0.9,18.4996759,0,0,0
1075,2,0,0,0,0,1,1,-25.05919,18,9,1.1,0.9,18.4996759,0,0,0
1076,2,0,0,0,0,1,1,-36.031101,18,9,1.1,0.9,18.4996759,0,0,0
1077,2,0,0,0,0,1,1,-36.031101,18,9,1.1,0.9,18.4996759,0,0,0
1078,2,0,0,0,0,1,1,-25.5871776,18,9,1.1,0.9,18.4996759,0,0,0
1079,2,0,0,0,0,1,1,-54.6875529,500,9,1.1,0.9,18.4996759,0,0,0
1080,2,0,0,0,0,1,1,-24.9737947,18,9,1.1,0.9,18.4996759,0,0,0
1081,2,0,0,0,79.77,1,1,-32.1286176,230,9,1.1,0.9,18.4996759,0,0,0
1082,2,0,0,0,0,1,1,-18.0675332,115,9,1.1,0.9,18.4996759,0,0,0
1083,1,39.95,11.32,0,26.15,1,1,-22.3249079,115,9,1.1,0.9,18.4996759,0,0,0
1084,2,0,0,0,0,1,1,-30.2970024,115,9,1.1,0.9,18.4996759,0,0,0
1085,1,21.3,6.03,0,0,1,1,-28.8181287,115,9,1.1,0.9,18.4996759,0,0,0
1086,1,39.67,11.24,0,30,1,1,-30.7550951,115,9,1.1,0.9,18.4996759,0,0,0
1087,1,0.91,0.26,0,14.05,1,1,-27.6722904,115,9,1.1,0.9,18.4996759,0,0,0
1088,2,0,0,0,0,1,1,-24.7122424,115,9,1.1,0.9,18.4996759,0,0,0
1089,1,40.6,11.5,0,0,1,1,-36.7642503,115,9,1.1,0.9,18.4996759,0,0,0
1090,2,0,0,0,0,1,1,-29.8118071,115,9,1.1,0.9,18.4996759,0,0,0
1091,1,11.62,3.29,0,0,1,1,-48.6015379,161,9,1.1,0.9,18.4996759,0,0,0
2001,1,48.36,13.7,0,0,2,1,-81.2876598,161,11,1.1,0.9,18.4996759,0,0,0
2002,1,0,0,0,0,2,1,-82.1476384,500,11,1.1,0.9,18.4996759,0,0,0
2003,1,0,0,0,0,2,1,-84.3760009,161,11,1.1,0.9,18.4996759,0,0,0
2004,2,0,0,0,0,2,1,-82.1476384,13.8,11,1.1,0.9,18.4996759,0,0,0
2005,2,0,0,0,0,2,1,-82.1476384,13.8,11,1.1,0.9,18.4996759,0,0,0
2006,2,0,0,0,0,2,1,-82.1476384,13.8,11,1.1,0.9,18.4996759,0,0,0
2007,1,9.54,2.7,0,0,2,1,-81.0255085,161,11,1.1,0.9,18.4996759,0,0,0
2008,1,8.06,2.28,0,0,2,1,-51.328014,161,10,1.1,0.9,18.4996759,0,0,0
2009,1,39.14,11.09,0,120,2,1,-63.689167,161,11,1.1,0.9,18.4996759,0,0,0
2010,1,56.81,16.09,0,30.17,2,1,-53.626863,161,10,1.1,0.9,18.4996759,0,0,0
2011,1,0,0,0,0,2,1,-51.142311,500,10,1.1,0.9,18.4996759,0,0,0
2012,1,0,0,0,0,2,1,-48.6716867,161,10,1.1,0.9,18.4996759,0,0,0
2013,2,0,0,0,0,2,1,-48.6450535,18,10,1.1,0.9,18.4996759,0,0,0
2014,1,25.43,7.2,0,0,2,1,-51.6794609,161,10,1.1,0.9,18.4996759,0,0,0
2015,1,4.69,1.33,0,0,2,1,-82.1876676,161,11,1.1,0.9,18.4996759,0,0,0
2016,1,69.27,19.63,0,0,2,1,-90.0762449,161,11,1.1,0.9,18.4996759,0,0,0
2017,1,0,0,0,-200,2,1,-51.1437616,500,10,1.1,0.9,18.4996759,0,0,0
2018,1,0,0,0,0,2,1,-50.2956984,161,10,1.1,0.9,18.4996759,0,0,0
2019,2,0,0,0,0,2,1,-51.1437616,20,10,1.1,0.9,18.4996759,0,0,0
2020,1,47.97,13.59,0,0,2,1,-63.9041484,161,11,1.1,0.9,18.4996759,0,0,0
2021,1,0,0,0,0,2,1,-78.0121081,500,11,1.1,0.9,18.4996759,0,0,0
2022,1,11.56,3.28,0,0,2,1,-79.9161587,161,11,1.1,0.9,18.4996759,0,0,0
2023,2,0,0,0,0,2,1,-76.3859279,13.8,11,1.1,0.9,18.4996759,0,0,0
2024,2,0,0,0,0,2,1,-75.6963573,13.8,11,1.1,0.9,18.4996759,0,0,0
2025,1,39.62,11.23,0,0,2,1,-63.1397075,161,11,1.1,0.9,18.4996759,0,0,0
2026,1,18.57,5.26,0,0,2,1,-50.0406903,161,10,1.1,0.9,18.4996759,0,0,0
2027,1,3.55,1.01,0,0,2,1,-81.6690588,161,11,1.1,0.9,18.4996759,0,0,0
2028,1,14.24,4.03,0,0,2,1,-66.1541843,161,11,1.1,0.9,18.4996759,0,0,0
2029,1,3.2,0.91,0,0,2,1,-50.8070954,161,10,1.1,0.9,18.4996759,0,0,0
2030,1,47.15,13.36,0,0,2,1,-85.0009563,161,11,1.1,0.9,18.4996759,0,0,0
2031,1,5.77,1.63,0,0,2,1,-46.3174271,161,10,1.1,0.9,18.4996759,0,0,0
2032,1,3.35,0.95,0,0,2,1,-80.4436619,161,11,1.1,0.9,18.4996759,0,0,0
2033,1,13.57,3.85,0,0,2,1,-86.2629054,161,11,1.1,0.9,18.4996759,0,0,0
2034,1,5.34,1.51,0,0,2,1,-89.5452964,161,11,1.1,0.9,18.4996759,0,0,0
2035,1,4.68,1.33,0,0,2,1,-47.0679679,161,10,1.1,0.9,18.4996759,0,0,0
2036,1,41.59,11.78,0,0,2,1,-63.4303332,161,11,1.1,0.9,18.4996759,0,0,0
2037,1,3.5,0.99,0,0,2,1,-82.5201941,161,11,1.1,0.9,18.4996759,0,0,0
2038,1,2.6,0.74,0,0,2,1,-84.8558633,161,11,1.1,0.9,18.4996759,0,0,0
2039,1,5.56,1.58,0,0,2,1,-79.5090623,161,11,1.1,0.9,18.4996759,0,0,0
2040,1,15.9,4.51,0,0,2,1,-80.5874412,161,11,1.1,0.9,18.4996759,0,0,0
2041,1,0,0,0,0,2,1,-46.478795,161,10,1.1,0.9,18.4996759,0,0,0
2042,2,0,0,0,0,2,1,-43.7950252,18,10,1.1,0.9,18.4996759,0,0,0
2043,1,4.24,1.2,0,0,2,1,-89.7929734,161,11,1.1,0.9,18.4996759,0,0,0
2044,1,27.4,7.76,0,0,2,1,-84.9434208,161,11,1.1,0.9,18.4996759,0,0,0
2045,1,22.61,6.4,0,0,2,1,-64.4212047,161,11,1.1,0.9,18.4996759,0,0,0
2046,1,22.13,6.27,0,0,2,1,-89.2199264,161,11,1.1,0.9,18.4996759,0,0,0
2047,1,14.96,4.24,0,0,2,1,-85.2569836,161,11,1.1,0.9,18.4996759,0,0,0
2048,1,6.42,1.82,0,0,2,1,-48.8440975,161,10,1.1,0.9,18.4996759,0,0,0
2049,1,11.57,3.28,0,0,2,1,-58.987345,161,10,1.1,0.9,18.4996759,0,0,0
2050,1,3.66,1.04,0,0,2,1,-84.2872348,161,11,1.1,0.9,18.4996759,0,0,0
2051,1,17.85,5.06,0,0,2,1,-72.9647869,161,11,1.1,0.9,18.4996759,0,0,0
2052,1,24.84,7.04,0,0,2,1,-50.6533546,161,10,1.1,0.9,18.4996759,0,0,0
2053,1,29.13,8.25,0,0,2,1,-78.1887685,161,11,1.1,0.9,18.4996759,0,0,0
2054,1,0,0,0,0,2,1,-62.2138372,500,11,1.1,0.9,18.4996759,0,0,0
2055,1,49.62,14.06,0,0,2,1,-62.9976727,161,11,1.1,0.9,18.4996759,0,0,0
2056,2,0,0,0,0,2,1,-62.2138372,18,11,1.1,0.9,18.4996759,0,0,0
2057,2,0,0,0,0,2,1,-59.8832686,18,11,1.1,0.9,18.4996759,0,0,0
2058,1,0,0,0,0,2,1,-46.0625984,161,10,1.1,0.9,18.4996759,0,0,0
2059,2,0,0,0,0,2,1,-42.5956308,13.8,10,1.1,0.9,18.4996759,0,0,0
2060,1,3.8,1.08,0,0,2,1,-83.0687692,161,11,1.1,0.9,18.4996759,0,0,0
2061,1,0,0,0,0,2,1,-55.1280088,161,10,1.1,0.9,18.4996759,0,0,0
2062,2,0,0,0,0,2,1,-52.7407249,18,10,1.1,0.9,18.4996759,0,0,0
2063,1,65.62,18.59,0,40,2,1,-88.6250298,161,11,1.1,0.9,18.4996759,0,0,0
2064,1,10.05,2.85,0,0,2,1,-81.4935567,161,11,1.1,0.9,18.4996759,0,0,0
2065,1,78.36,22.2,0,100,2,1,-84.6660776,161,11,1.1,0.9,18.4996759,0,0,0
2066,1,7.11,2.02,0,0,2,1,-43.8590946,161,10,1.1,0.9,18.4996759,0,0,0
2067,1,53.97,15.29,0,0,2,1,-63.0176164,161,11,1.1,0.9,18.4996759,0,0,0
2068,1,5.76,1.63,0,0,2,1,-60.705618,161,11,1.1,0.9,18.4996759,0,0,0
2069,1,21.92,6.21,0,120,2,1,-89.0072752,161,11,1.1,0.9,18.4996759,0,0,0
2070,1,0,0,0,0,2,1,-60.1743154,161,11,1.1,0.9,18.4996759,0,0,0
2071,2,0,0,0,0,2,1,-56.4950669,18,11,1.1,0.9,18.4996759,0,0,0
2072,1,9.71,2.75,0,0,2,1,-87.2505689,161,11,1.1,0.9,18.4996759,0,0,0
2073,1,0,0,0,0,2,1,-41.1281197,161,10,1.1,0.9,18.4996759,0,0,0
2074,1,0,0,0,0,2,1,-39.0127976,115,10,1.1,0.9,18.4996759,0,0,0
2075,1,0,0,0,0,2,1,-39.0127976,115,10,1.1,0.9,18.4996759,0,0,0
2076,2,0,0,0,0,2,1,-40.1755631,24,10,1.1,0.9,18.4996759,0,0,0
2077,1,0,0,0,0,2,1,-79.9529634,161,11,1.1,0.9,18.4996759,0,0,0
2078,2,0,0,0,0,2,1,-76.5015297,13.8,11,1.1,0.9,18.4996759,0,0,0
2079,1,4.48,1.27,0,0,2,1,-51.7943801,161,10,1.1,0.9,18.4996759,0,0,0
2080,1,16.93,4.8,0,0,2,1,-76.2820937,161,11,1.1,0.9,18.4996759,0,0,0
2081,1,4.46,1.26,0,0,2,1,-85.670143,161,11,1.1,0.9,18.4996759,0,0,0
2082,1,59.03,16.73,0,0,2,1,-63.6630192,161,11,1.1,0.9,18.4996759,0,0,0
2083,2,0,0,0,0,2,1,-62.0233286,20,11,1.1,0.9,18.4996759,0,0,0
2084,2,0,0,0,0,2,1,-63.6630192,20,11,1.1,0.9,18.4996759,0,0,0
2085,2,0,0,0,0,2,1,-63.6630192,20,11,1.1,0.9,18.4996759,0,0,0
2086,1,2.19,0.62,0,0,2,1,-78.2883081,161,11,1.1,0.9,18.4996759,0,0,0
2087,1,7.9,2.24,0,0,2,1,-43.7974126,161,10,1.1,0.9,18.4996759,0,0,0
2088,1,0,0,0,0,2,1,-60.365505,161,11,1.1,0.9,18.4996759,0,0,0
2089,2,0,0,0,0,2,1,-56.7640149,24,11,1.1,0.9,18.4996759,0,0,0
2090,1,2.42,0.69,0,0,2,1,-82.2174067,161,11,1.1,0.9,18.4996759,0,0,0
2091,1,17.05,4.83,0,0,2,1,-50.8696861,161,10,1.1,0.9,18.4996759,0,0,0
2092,1,24.11,6.83,0,0,2,1,-87.0285634,161,11,1.1,0.9,18.4996759,0,0,0
2093,1,0,0,0,0,2,1,-49.4341872,161,10,1.1,0.9,18.4996759,0,0,0
2094,2,0,0,0,0,2,1,-49.4341872,13.8,10,1.1,0.9,18.4996759,0,0,0
2095,2,0,0,0,0,2,1,-49.4341872,13.8,10,1.1,0.9,18.4996759,0,0,0
2096,1,0,0,0,-68.51,2,1,-45.8815584,500,10,1.1,0.9,18.4996759,0,0,0
2097,1,0,0,0,0,2,1,-45.1324083,230,10,1.1,0.9,18.4996759,0,0,0
2098,1,0,0,0,0,2,1,-48.0633006,161,10,1.1,0.9,18.4996759,0,0,0
2099,2,0,0,0,0,2,1,-45.7321453,18,10,1.1,0.9,18.4996759,0,0,0
2100,2,0,0,0,0,2,1,-43.1517726,18,10,1.1,0.9,18.4996759,0,0,0
2101,1,0,0,0,0,2,1,-83.0347374,500,11,1.1,0.9,18.4996759,0,0,0
2102,1,0,0,0,0,2,1,-84.328337,161,11,1.1,0.9,18.4996759,0,0,0
2103,2,0,0,0,0,2,1,-83.0347374,20,11,1.1,0.9,18.4996759,0,0,0
2104,2,0,0,0,0,2,1,-83.0347374,20,11,1.1,0.9,18.4996759,0,0,0
2105,2,0,0,0,0,2,1,-83.0347374,20,11,1.1,0.9,18.4996759,0,0,0
2106,1,14.4,4.08,0,0,2,1,-86.8149003,161,11,1.1,0.9,18.4996759,0,0,0
2107,1,74.15,21.01,0,0,2,1,-85.1524747,161,11,1.1,0.9,18.4996759,0,0,0
2108,1,2.14,0.61,0,0,2,1,-60.5406459,161,10,1.1,0.9,18.4996759,0,0,0
2109,1,33.81,9.58,0,0,2,1,-65.0440417,161,11,1.1,0.9,18.4996759,0,0,0
2110,1,8.59,2.43,0,50,2,1,-81.0563489,161,11,1.1,0.9,18.4996759,0,0,0
2111,1,13.95,3.95,0,0,2,1,-66.601942,161,11,1.1,0.9,18.4996759,0,0,0
2112,1,4.54,1.29,0,0,2,1,-68.2676537,161,11,1.1,0.9,18.4996759,0,0,0
2113,1,0,0,0,0,2,1,-77.6282404,500,11,1.1,0.9,18.4996759,0,0,0
2114,1,70.78,20.05,0,0,2,1,-78.890292,161,11,1.1,0.9,18.4996759,0,0,0
2115,2,0,0,0,0,2,1,-73.5609335,13.8,11,1.1,0.9,18.4996759,0,0,0
2116,2,0,0,0,0,2,1,-75.50833,13.8,11,1.1,0.9,18.4996759,0,0,0
2117,2,0,0,0,0,2,1,-72.9185044,13.8,11,1.1,0.9,18.4996759,0,0,0
2118,2,0,0,0,0,2,1,-72.4126046,13.8,11,1.1,0.9,18.4996759,0,0,0
2119,2,0,0,0,0,2,1,-75.0479401,13.8,11,1.1,0.9,18.4996759,0,0,0
2120,2,0,0,0,0,2,1,-72.6158112,13.8,11,1.1,0.9,18.4996759,0,0,0
2121,1,2.33,0.66,0,0,2,1,-81.1830955,161,11,1.1,0.9,18.4996759,0,0,0
2122,1,6.72,1.9,0,0,2,1,-82.3266512,161,11,1.1,0.9,18.4996759,0,0,0
2123,2,0,0,0,0,2,1,-45.8175373,161,10,1.1,0.9,18.4996759,0,0,0
2124,1,21.29,6.03,0,0,2,1,-87.7601054,161,11,1.1,0.9,18.4996759,0,0,0
2125,1,4.06,1.15,0,0,2,1,-87.0621554,161,11,1.1,0.9,18.4996759,0,0,0
2126,1,14.24,4.03,0,0,2,1,-86.1592951,161,11,1.1,0.9,18.4996759,0,0,0
2127,2,0,0,0,-184.86,2,1,-53.179598,500,10,1.1,0.9,18.4996759,0,0,0
2128,1,0,0,0,0,2,1,-51.4846964,161,10,1.1,0.9,18.4996759,0,0,0
2129,1,6.63,1.88,0,0,2,1,-86.6955635,161,11,1.1,0.9,18.4996759,0,0,0
2130,1,0,0,0,0,2,1,-58.9808314,161,10,1.1,0.9,18.4996759,0,0,0
2131,1,0,0,0,0,2,1,-55.9950006,115,10,1.1,0.9,18.4996759,0,0,0
2132,1,11.94,3.38,0,10,2,1,-57.7218352,115,10,1.1,0.9,18.4996759,0,0,0
2133,1,5.68,1.61,0,0,2,1,-79.2698902,161,11,1.1,0.9,18.4996759,0,0,0
3001,1,0,0,0,0,3,1,-58.659922,230,28,1.1,0.9,18.4996759,0,0,0
3002,1,112.86,31.98,0,0,3,1,-61.1505671,115,28,1.1,0.9,18.4996759,0,0,0
3003,1,0,0,0,0,3,1,-33.1036485,115,27,1.1,0.9,18.4996759,0,0,0
3004,2,0,0,0,0,3,1,-31.4751562,18,27,1.1,0.9,18.4996759,0,0,0
3005,1,7.34,2.08,0,0,3,1,-60.8953124,115,28,1.1,0.9,18.4996759,0,0,0
3006,1,7.35,2.08,0,0,3,1,-42.1701408,115,27,1.1,0.9,18.4996759,0,0,0
3007,1,14.96,4.24,0,0,3,1,-39.6093329,115,27,1.1,0.9,18.4996759,0,0,0
3008,1,19.81,5.61,0,0,3,1,-49.6377245,115,27,1.1,0.9,18.4996759,0,0,0
3009,1,12.54,3.55,0,0,3,1,-43.0728241,115,28,1.1,0.9,18.4996759,0,0,0
3010,1,4.67,1.32,0,0,3,1,-60.294439,115,28,1.1,0.9,18.4996759,0,0,0
3011,1,27.14,7.69,0,0,3,1,-65.1637995,115,28,1.1,0.9,18.4996759,0,0,0
3012,1,0.56,0.16,0,0,3,1,-64.5617576,115,28,1.1,0.9,18.4996759,0,0,0
3013,1,64.56,18.29,0,65,3,1,-43.1985309,115,27,1.1,0.9,18.4996759,0,0,0
3014,1,22,6.23,0,0,3,1,-59.8211013,115,28,1.1,0.9,18.4996759,0,0,0
3015,1,5.36,1.52,0,0,3,1,-32.1958153,115,27,1.1,0.9,18.4996759,0,0,0
3016,1,0,0,0,0,3,1,-36.6721666,115,27,1.1,0.9,18.4996759,0,0,0
3017,2,0,0,0,0,3,1,-31.3715908,18,27,1.1,0.9,18.4996759,0,0,0
3018,1,0,0,0,0,3,1,-41.6635579,230,27,1.1,0.9,18.4996759,0,0,0
3019,1,0,0,0,40.95,3,1,-43.2798189,115,27,1.1,0.9,18.4996759,0,0,0
3020,2,0,0,0,0,3,1,-37.2939669,13.8,27,1.1,0.9,18.4996759,0,0,0
3021,1,1.94,0.55,0,0,3,1,-51.7182841,115,27,1.1,0.9,18.4996759,0,0,0
3022,1,24.59,6.97,0,0,3,1,-33.6300755,115,27,1.1,0.9,18.4996759,0,0,0
3023,1,10.41,2.95,0,50,3,1,-42.0581059,115,27,1.1,0.9,18.4996759,0,0,0
3024,1,10.13,2.87,0,0,3,1,-43.5275121,115,28,1.1,0.9,18.4996759,0,0,0
3025,1,13.67,3.87,0,0,3,1,-55.3160292,115,28,1.1,0.9,18.4996759,0,0,0
3026,1,0,0,0,0,3,1,-53.2522207,230,27,1.1,0.9,18.4996759,0,0,0
3027,1,0,0,0,0,3,1,-53.3131163,115,27,1.1,0.9,18.4996759,0,0,0
3028,2,0,0,0,0,3,1,-50.4779591,18,27,1.1,0.9,18.4996759,0,0,0
3029,1,4.87,1.38,0,0,3,1,-66.6824269,115,28,1.1,0.9,18.4996759,0,0,0
3030,1,129.72,36.75,0,80,3,1,-52.3116834,115,27,1.1,0.9,18.4996759,0,0,0
3031,1,14.73,4.17,0,0,3,1,-40.6640905,115,27,1.1,0.9,18.4996759,0,0,0
3032,1,72.86,20.64,0,0,3,1,-42.1457157,115,27,1.1,0.9,18.4996759,0,0,0
3033,1,0,0,0,0,3,1,-30.7984599,115,27,1.1,0.9,18.4996759,0,0,0
3034,2,0,0,0,0,3,1,-21.1529339,22,27,1.1,0.9,18.4996759,0,0,0
3035,1,3.47,0.98,0,0,3,1,-54.9477868,115,28,1.1,0.9,18.4996759,0,0,0
3036,1,5.8,1.64,0,0,3,1,-52.9801833,115,28,1.1,0.9,18.4996759,0,0,0
3037,1,0,0,0,0,3,1,-41.3540714,230,27,1.1,0.9,18.4996759,0,0,0
3038,1,0,0,0,0,3,1,-35.6098955,115,27,1.1,0.9,18.4996759,0,0,0
3039,2,0,0,0,0,3,1,-38.5887866,13.8,27,1.1,0.9,18.4996759,0,0,0
3040,1,14.61,4.14,0,0,3,1,-47.4275176,115,27,1.1,0.9,18.4996759,0,0,0
3041,1,0,0,0,0,3,1,-44.5993512,230,27,1.1,0.9,18.4996759,0,0,0
3042,1,8.75,2.48,0,0,3,1,-33.3921774,115,27,1.1,0.9,18.4996759,0,0,0
3043,2,0,0,0,0,3,1,-44.5993512,13.8,27,1.1,0.9,18.4996759,0,0,0
3044,2,0,0,0,0,3,1,-44.5993512,13.8,27,1.1,0.9,18.4996759,0,0,0
3045,2,0,0,0,0,3,1,-44.5993512,13.8,27,1.1,0.9,18.4996759,0,0,0
3046,1,0,0,0,200,3,1,-50.6691903,230,27,1.1,0.9,18.4996759,0,0,0
3047,1,0,0,0,116.24,3,1,-35.2833196,115,27,1.1,0.9,18.4996759,0,0,0
3048,2,0,0,0,0,3,1,-58.1397468,500,27,1.1,0.9,18.4996759,0,0,0
3049,1,10.58,3,0,0,3,1,-45.4933112,115,27,1.1,0.9,18.4996759,0,0,0
3050,1,0,0,0,65,3,1,-43.8889693,230,28,1.1,0.9,18.4996759,0,0,0
3051,1,145.29,41.17,0,20,3,1,-45.8756041,115,28,1.1,0.9,18.4996759,0,0,0
